For size 	'18 x 2' 	and key 'ОХОТАНАКАБАНОВ' : 		0,02006694
For size 	'3 x 12' 	and key 'СИЗИФНАШ' : 		0,02306945
For size 	'12 x 3' 	and key 'СИЗИФНАШ' : 		0,03123163
For size 	'4 x 9' 	and key 'СИЗИФНАШ' : 		0,03077067
For size 	'9 x 4' 	and key 'СИЗИФНАШ' : 		0,02613364
For size 	'6 x 6' 	and key 'СИЗИФНАШ' : 		0,03091851
For size 	'18 x 2' 	and key 'КРЫМНАШ' : 		0,02273975
For size 	'2 x 18' 	and key 'КРЫМНАШ' : 		0,06277496
For size 	'3 x 12' 	and key 'КРЫМНАШ' : 		0,02409602
For size 	'12 x 3' 	and key 'КРЫМНАШ' : 		0,03336598
For size 	'4 x 9' 	and key 'КРЫМНАШ' : 		0,02448224
For size 	'9 x 4' 	and key 'КРЫМНАШ' : 		0,02616698
For size 	'6 x 6' 	and key 'КРЫМНАШ' : 		0,03247407
For size 	'18 x 2' 	and key 'САУРОН' : 		0,01876995
For size 	'2 x 18' 	and key 'САУРОН' : 		0,04865101
For size 	'3 x 12' 	and key 'САУРОН' : 		0,02059081
For size 	'12 x 3' 	and key 'САУРОН' : 		0,02044214
For size 	'4 x 9' 	and key 'САУРОН' : 		0,01760006
For size 	'9 x 4' 	and key 'САУРОН' : 		0,01999278
For size 	'6 x 6' 	and key 'САУРОН' : 		0,01946959
For size 	'18 x 2' 	and key 'МОСКВАСТАРТ' : 		0,02188896
For size 	'2 x 18' 	and key 'МОСКВАСТАРТ' : 		0,05867508
For size 	'3 x 12' 	and key 'МОСКВАСТАРТ' : 		0,02617968
For size 	'12 x 3' 	and key 'МОСКВАСТАРТ' : 		0,02912958
For size 	'4 x 9' 	and key 'МОСКВАСТАРТ' : 		0,0212451
For size 	'9 x 4' 	and key 'МОСКВАСТАРТ' : 		0,02268432
For size 	'6 x 6' 	and key 'МОСКВАСТАРТ' : 		0,02630703
For size 	'18 x 2' 	and key 'КУВШИН' : 		0,02275038
For size 	'2 x 18' 	and key 'КУВШИН' : 		0,05278624
For size 	'3 x 12' 	and key 'КУВШИН' : 		0,01675149
For size 	'12 x 3' 	and key 'КУВШИН' : 		0,01988354
For size 	'4 x 9' 	and key 'КУВШИН' : 		0,01480358
For size 	'9 x 4' 	and key 'КУВШИН' : 		0,02484149
For size 	'6 x 6' 	and key 'КУВШИН' : 		0,02370422
Best size '4x9' and key 'ВОРУЙКРАБОВ'
 ВО ВСЯКОЙ КНИГЕ ПРЕДИСЛОВИЕ ЕСТЬ ПЕРВАЯ И ВМЕСТЕ С ТЕМ ПОСЛЕДНЯЯ  ВЕЩЬВВОНО ИЛИ СЛУЖИТ ОБЪЯСНЕНИЕМ ЦЕЛИ СОЧИНЕНИЯ,  ИЛИ  ОПРАВДАНИЕМ  И  ОТВЕТОМ  НАВВКРИТИКИ. НО ОБЫКНОВЕННО  ЧИТАТЕЛЯМ  ДЕЛА  НЕТ  ДО  НРАВСТВЕННОЙ  ЦЕЛИ  И  ДОВВЖУРНАЛЬНЫХ НАПАДОК, И ПОТОМУ ОНИ НЕ ЧИТАЮТ ПРЕДИСЛОВИЙ. А ЖАЛЬ, ЧТО ЭТО ТАК,ВВОСОБЕННО У НАС. НАША ПУБЛИКА ТАК ЕЩЕ МОЛОДА И ПРОСТОДУШНА, ЧТО  НЕ  ПОНИМАЕТВВБАСНИ, ЕСЛИ В КОНЦЕ ЕЕ НА НАХОДИТ НРАВОУЧЕНИЯ. ОНА НЕ  УГАДЫВАЕТ  ШУТКИ,  НЕВВЧУВСТВУЕТ ИРОНИИ. ОНА ПРОСТО ДУРНО  ВОСПИТАНА.  ОНА  ЕЩЕ  НЕ  ЗНАЕТ,  ЧТО  ВВВПОРЯДОЧНОМ ОБЩЕСТВЕ И В ПОРЯДОЧНОЙ КНИГЕ ЯВНАЯ БРАНЬ НЕ МОЖЕТ  ИМЕТЬ  МЕСТА,ВВЧТО СОВРЕМЕННАЯ ОБРАЗОВАННОСТЬ ИЗОБРЕЛА ОРУДИЕ БОЛЕЕ ОСТРОЕ, ПОЧТИ НЕВИДИМОЕВВИ ТЕМ НЕ МЕНЕЕ СМЕРТЕЛЬНОЕ, КОТОРОЕ, ПОД ОДЕЖДОЮ ЛЕСТИ, НАНОСИТ  НЕОТРАЗИМЫЙВВИ ВЕРНЫЙ УДАР.  НАША  ПУБЛИКА  ПОХОЖА  НА  ПРОВИНЦИАЛА,  КОТОРЫЙ,  ПОДСЛУШАВВВРАЗГОВОР ДВУХ ДИПЛОМАТОВ, ПРИНАДЛЕЖАЩИХ  К  ВРАЖДЕБНЫМ  ДВОРАМ,  ОСТАЛСЯ  БЫВВУВЕРЕН, ЧТО КАЖДЫЙ ИЗ НИХ ОБМАНЫВАЕТ СВОЕ ПРАВИТЕЛЬСТВО  В  ПОЛЬЗУ  ВЗАИМНОЙВВНЕЖНЕЙШЕЙ ДРУЖБЫ.ВВ     ЭТА  КНИГА  ИСПЫТАЛА  НА  СЕБЕ  ЕЩЕ  НЕДАВНО  НЕСЧАСТНУЮ   ДОВЕРЧИВОСТЬВВНЕКОТОРЫХ ЧИТАТЕЛЕЙ И ДАЖЕ ЖУРНАЛОВ К БУКВАЛЬНОМУ ЗНАЧЕНИЮ СЛОВ. ИНЫЕ УЖАСНОВВОБИДЕЛИСЬ, И НЕ  ШУТЯ,  ЧТО  ИМ  СТАВЯТ  В  ПРИМЕР  ТАКОГО  БЕЗНРАВСТВЕННОГОВВЧЕЛОВЕКА, КАК ГЕРОЙ НАШЕГО ВРЕМЕНИВ ДРУГИЕ  ЖЕ  ОЧЕНЬ  ТОНКО  ЗАМЕЧАЛИ,  ЧТОВВСОЧИНИТЕЛЬ НАРИСОВАЛ СВОЙ ПОРТРЕТ И  ПОРТРЕТЫ  СВОИХ  ЗНАКОМЫХ...  СТАРАЯ  ИВВЖАЛКАЯ ШУТКА. НО, ВИДНО, РУСЬ ТАК УЖ СОТВОРЕНА, ЧТО ВСЕ В  НЕЙ  ОБНОВЛЯЕТСЯ,ВВКРОМЕ ПОДОБНЫХ НЕЛЕПОСТЕЙ. САМАЯ ВОЛШЕБНАЯ ИЗ ВОЛШЕБНЫХ СКАЗОК У НАС ЕДВА ЛИВВИЗБЕГНЕТ УПРЕКА В ПОКУШЕНИИ НА ОСКОРБЛЕНИЕ ЛИЧНОСТИ.ВВ     ГЕРОЙ НАШЕГО ВРЕМЕНИ, МИЛОСТИВЫЕ ГОСУДАРИ МОИ, ТОЧНО,  ПОРТРЕТ,  НО  НЕВВОДНОГО  ЧЕЛОВЕКАВ  ЭТО  ПОРТРЕТ,  СОСТАВЛЕННЫЙ  ИЗ  ПОРОКОВ   ВСЕГО   НАШЕГОВВПОКОЛЕНИЯ, В ПОЛНОМ ИХ РАЗВИТИИ. ВЫ МНЕ ОПЯТЬ СКАЖЕТЕ, ЧТО ЧЕЛОВЕК НЕ  МОЖЕТВВБЫТЬ ТАК ДУРЕН, А Я ВАМ СКАЖУ, ЧТО ЕЖЕЛИ ВЫ ВЕРИЛИ ВОЗМОЖНОСТИ СУЩЕСТВОВАНИЯВВВСЕХ ТРАГИЧЕСКИХ  И  РОМАНТИЧЕСКИХ  ЗЛОДЕЕВ,  ОТЧЕГО  ЖЕ  ВЫ  НЕ  ВЕРУЕТЕ  ВВВДЕЙСТВИТЕЛЬНОСТЬ  ПЕЧОРИНА.  ЕСЛИ  ВЫ  ЛЮБОВАЛИСЬ  ВЫМЫСЛАМИ  ГОРАЗДО  БОЛЕЕВВУЖАСНЫМИ И УРОДЛИВЫМИ, ОТЧЕГО ЖЕ ЭТОТ ХАРАКТЕР, ДАЖЕ КАК ВЫМЫСЕЛ, НЕ НАХОДИТВВУ ВАС ПОЩАДЫ УЖ НЕ ОТТОГО ЛИ, ЧТО В НЕМ БОЛЬШЕ ПРАВДЫ, НЕЖЕЛИ  БЫ  ВЫ  ТОГОВВЖЕЛАЛИ..ВВ     ВЫ СКАЖЕТЕ,  ЧТО  НРАВСТВЕННОСТЬ  ОТ  ЭТОГО  НЕ  ВЫИГРЫВАЕТ  ИЗВИНИТЕ.ВВДОВОЛЬНО ЛЮДЕЙ КОРМИЛИ СЛАСТЯМИВ У НИХ ОТ ЭТОГО  ИСПОРТИЛСЯ  ЖЕЛУДОКВ  НУЖНЫВВГОРЬКИЕ ЛЕКАРСТВА, ЕДКИЕ ИСТИНЫ. НО НЕ ДУМАЙТЕ, ОДНАКО,  ПОСЛЕ  ЭТОГО,  ЧТОБВВАВТОР ЭТОЙ КНИГИ  ИМЕЛ  КОГДАВНИБУДЬ  ГОРДУЮ  МЕЧТУ  СДЕЛАТЬСЯ  ИСПРАВИТЕЛЕМВВЛЮДСКИХ ПОРОКОВ. БОЖЕ ЕГО ИЗБАВИ  ОТ  ТАКОГО  НЕВЕЖЕСТВ  ЕМУ  ПРОСТО  БЫЛОВВВЕСЕЛО РИСОВАТЬ СОВРЕМЕННОГО ЧЕЛОВЕКА, КАКИМ ОН ЕГО  ПОНИМАЕТ,  И  К  ЕГО  ИВВВАШЕМУ НЕСЧАСТЬЮ, СЛИШКОМ ЧАСТО ВСТРЕЧАЛ. БУДЕТ И ТОГО, ЧТО БОЛЕЗНЬ УКАЗАНА,ВВА КАК ЕЕ ИЗЛЕЧИТЬ В ЭТО УЖ БОГ ЗНАЕТ
